type,year_built,beds,baths,baths_full,baths_half,garage,lot_sqft,sqft,stories,lastSoldOn,listPrice,status
single_family,2003,4,3,2,1,2,13939,2172,2,05-31-18,596009,for_sale
land,2003,4,0,2,1,2,871200,2400,2,05-31-18,16500,for_sale
single_family,2003,3,3,3,1,2,13939,3718,1,05-31-18,474990,for_sale
condos,2003,3,3,2,1,2,13939,1480,2,05-31-18,292500,for_sale
land,2003,4,0,2,1,2,4644803,2400,2,05-31-18,746410,for_sale
single_family,1967,3,2,2,1,1,9148,2200,2,05-31-18,485000,for_sale
single_family,2003,3,2,2,1,2,13939,1626,1,05-31-18,479990,for_sale
single_family,2007,3,2,2,1,2,10890,1709,1,05-31-18,360000,for_sale
single_family,2003,4,2,2,1,2,13939,1692,1,05-31-18,504990,for_sale
land,2003,4,0,2,1,2,876863,2400,2,05-31-18,99900,for_sale
single_family,1990,5,3,3,1,2,1045440,3816,2,07-15-05,699999,for_sale
condos,2003,3,3,2,1,2,13939,1476,2,05-31-18,299990,for_sale
land,2003,4,0,2,1,2,217800,2400,2,05-31-18,125000,for_sale
single_family,2003,5,4,3,1,3,13939,4881,1,05-31-18,1305995,for_sale
single_family,2004,7,4,4,1,2,14375,3538,2,05-31-18,550000,for_sale
townhomes,2003,3,3,2,1,1,13939,1510,3,05-31-18,434900,for_sale
land,2003,4,0,2,1,2,317988,2400,2,05-31-18,200000,for_sale
single_family,2003,3,3,2,1,2,13939,2400,2,05-31-18,449990,for_sale
single_family,2003,3,3,2,1,2,13939,2945,2,05-31-18,539990,for_sale
single_family,1978,5,3,2,1,1,184694,2939,1,05-31-18,674000,for_sale
single_family,2003,3,1,1,1,2,13939,3150,2,05-31-18,509900,for_sale
single_family,2003,7,4,4,1,2,13939,3459,2,05-31-18,598000,for_sale
single_family,2003,3,2,2,1,2,13939,1455,1,05-31-18,469990,for_sale
single_family,2003,3,3,2,1,2,13939,2216,2,05-31-18,519990,for_sale
single_family,2003,4,3,2,1,2,13939,2553,2,05-31-18,660409,for_sale
single_family,2003,2,2,2,1,1,13939,0,1,05-31-18,699990,for_sale
single_family,2003,4,3,2,1,2,13939,2552,2,05-31-18,749626,for_sale
farm,2007,7,10,7,3,20,1826471,17493,2,05-31-18,48000000,for_sale
single_family,2003,3,3,3,1,2,13939,3718,1,05-31-18,480990,for_sale
single_family,2003,3,3,2,1,2,13939,2020,2,05-31-18,584990,for_sale
single_family,2003,6,4,4,1,3,13939,4541,1,05-31-18,884900,for_sale
single_family,1961,4,2,2,1,2,7841,1840,1,07-15-20,330000,for_sale
land,2003,4,0,2,1,2,30928,2400,2,05-31-18,115000,for_sale
single_family,2003,2,2,2,1,2,13939,0,1,05-31-18,481990,for_sale
single_family,1979,8,5,3,1,2,12197,5381,3,05-31-18,769900,for_sale
single_family,1936,5,3,3,1,2,13068,3348,2,07-23-18,489900,for_sale
townhomes,2003,4,3,3,1,2,13939,1789,3,05-31-18,359990,for_sale
mobile,2003,3,3,3,1,2,25700,2550,1,06-19-18,485000,for_sale
single_family,1994,6,5,5,1,1,76230,4481,2,05-31-18,485000,for_sale
single_family,1959,4,2,1,1,2,14375,2781,2,05-21-15,399900,for_sale
land,2003,4,0,2,1,2,1770714,2400,2,05-31-18,165000,for_sale
single_family,1959,3,2,1,1,1,9148,2150,2,05-31-18,594500,for_sale
townhomes,2003,3,3,2,1,2,13939,2187,2,05-31-18,379990,for_sale
single_family,2003,3,2,2,1,3,13939,3248,1,05-31-18,519990,for_sale
single_family,2003,3,3,2,1,3,13939,2287,2,05-31-18,564990,for_sale
single_family,2021,1,1,1,1,2,221285,1300,1,05-31-18,285000,for_sale
single_family,2003,6,5,4,1,4,13939,4319,2,05-31-18,1275995,for_sale
single_family,1980,5,3,3,1,2,7841,2400,2,08-06-09,500000,for_sale
townhomes,2003,3,2,2,1,2,13939,1399,2,05-31-18,377990,for_sale
single_family,2003,4,3,2,1,2,5227,2648,2,04-26-06,630000,for_sale
townhomes,2003,3,3,2,1,2,13939,2187,2,05-31-18,360990,for_sale
single_family,1985,5,3,3,1,2,45738,2051,2,12-05-18,525000,for_sale
townhomes,2003,3,3,2,1,2,13939,2187,2,05-31-18,378990,for_sale
single_family,2017,5,4,3,1,3,10019,3053,3,09-28-18,675000,for_sale
single_family,2003,3,3,2,1,4,13939,4797,1,05-31-18,778455,for_sale
single_family,2003,4,3,2,1,3,13939,1893,2,05-31-18,575000,for_sale
single_family,2003,3,3,2,1,3,13939,2747,2,05-31-18,559990,for_sale
single_family,2003,3,2,2,1,2,13939,1626,1,05-31-18,439990,for_sale
land,2003,4,0,2,1,2,174240,2400,2,04-29-21,65000,for_sale
single_family,2003,3,3,2,1,2,13939,1580,2,05-31-18,441990,for_sale
townhomes,2003,4,3,2,1,2,13939,2247,2,05-31-18,439990,for_sale
single_family,2003,3,3,2,1,2,13939,0,2,05-31-18,561817,for_sale
single_family,2003,4,3,2,1,2,13939,1859,2,05-31-18,415300,for_sale
single_family,2003,3,3,2,1,2,13939,0,2,05-31-18,399990,for_sale
single_family,2003,3,3,3,1,2,13939,3718,1,05-31-18,480990,for_sale
single_family,1981,4,1,1,1,2,18295,2064,2,05-31-18,289900,for_sale
single_family,2003,3,3,3,1,3,13939,4528,1,05-31-18,624990,for_sale
single_family,2003,4,3,2,1,3,13939,1955,2,05-31-18,480000,for_sale
single_family,1981,4,2,2,1,2,7405,2240,2,06-14-00,550000,for_sale
single_family,2003,3,3,2,1,2,13939,0,2,05-31-18,403990,for_sale
single_family,2003,3,2,2,1,2,13939,1540,2,05-31-18,364900,for_sale
single_family,2003,3,2,2,1,2,13939,1540,2,05-31-18,364900,for_sale
single_family,2003,3,2,2,1,2,13939,1540,2,05-31-18,364900,for_sale
single_family,2003,3,3,2,1,2,13939,3107,2,05-31-18,514990,for_sale
single_family,2003,3,2,2,1,2,13939,2318,1,07-05-23,519785,for_sale
single_family,2011,5,3,3,1,2,14810,3340,2,06-23-22,699950,for_sale
single_family,1996,5,4,3,1,2,12632,3034,2,03-03-21,569900,for_sale
single_family,1992,4,2,2,1,2,3485,1616,1,10-05-18,380000,for_sale
single_family,1935,3,2,1,1,1,10454,1900,2,05-31-18,369900,for_sale
single_family,2024,9,8,4,1,3,268330,11800,3,05-31-18,990000,for_sale
single_family,2003,3,3,2,1,2,13939,2657,3,05-31-18,609990,for_sale
condo_townhome,2003,4,3,2,1,2,13939,1615,2,05-31-18,391990,ready_to_build
single_family,2003,3,3,2,1,3,13939,4086,1,05-31-18,744990,for_sale
single_family,2003,4,3,2,1,2,13939,2371,2,05-31-18,559990,for_sale
single_family,2003,6,5,4,1,2,13939,4891,2,05-31-18,994990,for_sale
single_family,2003,3,2,2,1,4,13939,3566,1,05-31-18,674900,for_sale
single_family,2003,3,4,3,1,2,13939,3879,2,05-31-18,975000,for_sale
single_family,2003,3,3,2,1,2,13939,2400,1,05-31-18,569990,for_sale
single_family,1922,6,2,2,1,2,24394,2708,3,05-31-18,430900,for_sale
land,2003,4,0,2,1,2,13939,2400,2,05-31-18,25500,for_sale
single_family,2003,6,3,3,1,3,13939,3773,1,05-31-18,777475,for_sale
single_family,2010,3,2,2,1,2,21780,2300,2,05-31-18,469900,for_sale
single_family,2003,5,5,4,1,2,13939,4468,1,05-31-18,1499995,for_sale
single_family,1903,3,2,1,1,1,67518,1955,2,05-31-18,349900,for_sale
single_family,2003,5,4,3,1,2,13939,2646,2,05-31-18,624990,for_sale
townhomes,2003,3,3,2,1,2,13939,2187,2,05-31-18,378990,for_sale
single_family,1983,3,2,1,1,1,32670,1884,1,05-31-18,495000,for_sale
single_family,1996,4,3,3,1,3,17860,2675,2,04-04-07,759000,for_sale
single_family,2017,3,3,3,1,2,8712,2149,1,04-19-17,659900,for_sale
single_family,1978,4,2,2,1,2,19166,2945,2,05-31-18,659000,for_sale
townhomes,2003,3,3,2,1,1,13939,1362,3,05-31-18,429900,for_sale
